titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,boite_vitesse,carburant,url_page,categorie
Hyundai santafe 2018,Hyundai,2018,santafe,13 500 000FCFA,13500000,"Passée, il y a 5 jours",1.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai santafe 2018,Hyundai,2018,santafe,13 500 000FCFA,13500000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai santafe 2018,Hyundai,2018,santafe,13 500 000FCFA,13500000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Land-cruiser-prado 2015,Toyota,2015,Land-cruiser-prado,10 000 000FCFA,10000000,"Passée, il y a 5 jours",82000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Land-cruiser-prado 2015,Toyota,2015,Land-cruiser-prado,10 000 000FCFA,10000000,"Passée, il y a 5 jours",82000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Land-cruiser-prado 2015,Toyota,2015,Land-cruiser-prado,10 000 000FCFA,10000000,"Passée, il y a 5 jours",82000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Land-cruiser-prado 2015,Toyota,2015,Land-cruiser-prado,10 000 000FCFA,10000000,"Passée, il y a 5 jours",82000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Land-cruiser-prado 2015,Toyota,2015,Land-cruiser-prado,10 000 000FCFA,10000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Land-cruiser-prado 2015,Toyota,2015,Land-cruiser-prado,10 000 000FCFA,10000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Captur 2018,Renault,2018,Captur,6 900 000FCFA,6900000,"Passée, il y a 5 jours",170000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Captur 2018,Renault,2018,Captur,6 900 000FCFA,6900000,"Passée, il y a 5 jours",170000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
